Date,StationCode,Time,MicrocystisVisualRank,WaterTemp,Secchi,EC,SpCnd,pH,DO,Turbidity,LightData,SurfaceIRR,Depth1,SubSurfaceIRR1,Depth2,SubSurfaceIRR2,Depth3,SubSurfaceIRR3,Depth4,SubSurfaceIRR4,WY
12/27/2018,SHR,10:27,1,9.7,0.6,133,188,6.41,10.29,16.8,TRUE,2237,0.05,1679,0.09,1119.1,0.36,558.7,1.45,22.2,WY19
1/9/2019,SHR,9:06,1,8.9,0.38,113,163,7.44,10.62,30.9,TRUE,808.6,0.04,603.2,0.07,401.6,0.21,205.5,1.04,8.11,WY19
1/8/2019,STTD,9:53,1,8.5,0.21,373,545,7.66,9.75,40.7,TRUE,168.23,0.04,127,0.08,83.74,0.21,42.21,0.74,1.67,WY19
1/23/2019,SHR,9:45,1,10.4,0.14,108,150,7.67,9.7,74,TRUE,2265,0.05,1688.5,0.07,1131.8,0.15,566.9,0.5,22.67,WY19
1/22/2019,STTD,11:37,1,10.6,0.12,272,374,8.25,7.2,147.3,TRUE,2147,0.06,1658,0.09,1074,0.14,534.5,0.37,21.11,WY19
2/20/2019,SHR,9:18,1,8.5,0.2,87,127,7.47,10.59,57.4,TRUE,1511.3,0.01,1110.7,0.05,754.3,0.16,379.8,0.71,15.08,WY19
2/19/2019,STTD,10:34,1,7.6,0.1,69,103,7.81,10.69,94.4,TRUE,2204,0.07,1658.4,0.11,1105.6,0.17,548,0.53,21.16,WY19
2/27/2019,SHR,8:40,1,8.8,0.2,70,101,7.87,11.56,57.2,TRUE,330.4,0.06,235.4,0.09,162.12,0.2,81.02,0.63,3.13,WY19
2/26/2019,STTD,10:45,1,9.7,0.15,219,308,7.9,9.46,77.9,TRUE,188.47,0.03,141.51,0.08,94.54,0.18,46.93,0.71,1.9,WY19
2/4/2019,SHR,9:16,1,11.4,0.33,140,188,8.11,9.84,38.5,TRUE,3046,0.04,2259,0.09,1536,0.2,761,0.6,34.79,WY19
2/5/2019,STTD,10:25,1,10.4,0.07,331,458,7.6,8.41,120.1,TRUE,2427,0.06,1810.9,0.1,1214,0.12,611.8,0.4,24.17,WY19
3/20/2019,STTD,9:59,1,14.3,0.22,170,213,7.74,9.01,27.4,TRUE,1292.6,0.03,997.1,0.06,610.8,0.16,323.2,1.17,12.04,WY19
