Date,StationCode,Time,MicrocystisVisualRank,WaterTemp,Secchi,EC,SpCnd,pH,DO,Turbidity,LightData,SurfaceIRR,Depth1,SubSurfaceIRR1,Depth2,SubSurfaceIRR2,Depth3,SubSurfaceIRR3,Depth4,SubSurfaceIRR4,WY,Z,Z(lnlz),z^2,VEC
6/28/2017,LIS,8:50:00 AM,1,23,0.15,622,647,7.79,5.19,61.8,TRUE,2229,0.06,1682,0.12,1110,0.2,554,0.62,22.3,,1,4.475394844,0.4424,5.917794844
12/27/2016,STTD,10:00:00 AM,1,6.2,0.32,281,438,7.56,9.01,35.4,TRUE,1893.1,0.05,1479.4,0.07,960.4,0.13,495,0.83,18.42,WY17,1.08,4.070429329,0.7132,5.863629329
2/4/2019,SHR,9:16:00 AM,1,11.4,0.33,140,188,8.11,9.84,38.5,TRUE,3046,0.04,2259,0.09,1536,0.2,761,0.6,34.79,WY19,0.93,4.425756088,0.4097,5.765456088
4/15/2019,STTD,11:06:00 AM,1,,0.21,,,7.78,13.16,39.9,TRUE,565,0.05,426.3,0.1,285.3,0.3,142.02,0.48,55.95,WY19,0.93,4.286641709,0.3329,5.549541709
2/7/2017,SHR,9:00:00 AM,,9.6,0.45,59.1,84,7.5,11.53,28.5,TRUE,155.31,0.02,118.47,0.06,77.01,0.28,38.65,1.34,1.36,WY17,1.7,1.791431907,1.878,5.369431907
2/19/2019,STTD,10:34:00 AM,1,7.6,0.1,69,103,7.81,10.69,94.4,TRUE,2204,0.07,1658.4,0.11,1105.6,0.17,548,0.53,21.16,WY19,0.88,3.97953486,0.3268,5.18633486
12/21/2016,STTD,1:21:00 PM,,8.6,0.13,105,153,7.45,8.19,72.2,TRUE,1974.4,0.07,1407.3,0.09,987.2,0.15,456,0.6,19.84,WY17,0.91,3.838992499,0.3955,5.144492499
1/17/2018,STTD,9:45:00 AM,,11.4,0.37,431,583,7.55,6.87,24.3,TRUE,281.8,0.02,208.3,0.05,141.99,0.22,70.62,1.09,2.82,WY18,1.38,2.421219569,1.2394,5.040619569
12/21/2016,SHR,8:16:00 AM,1,8.4,0.23,72,105,7.24,10.39,44.1,TRUE,323.1,0.04,240.7,0.08,162.8,0.23,80.67,0.94,2.94,WY17,1.29,2.650233211,0.9445,4.884733211
7/19/2017,LIS,8:34:00 AM,1,24.4,0.14,413,418,8.02,5.49,84.4,TRUE,2071,0.07,1522,0.09,1122,0.16,519,0.5,23.05,,0.82,3.714140271,0.2886,4.822740271
2/20/2019,SHR,9:18:00 AM,1,8.5,0.2,87,127,7.47,10.59,57.4,TRUE,1511.3,0.01,1110.7,0.05,754.3,0.16,379.8,0.71,15.08,WY19,0.93,3.278252381,0.5323,4.740552381
1/23/2019,SHR,9:45:00 AM,1,10.4,0.14,108,150,7.67,9.7,74,TRUE,2265,0.05,1688.5,0.07,1131.8,0.15,566.9,0.5,22.67,WY19,0.77,3.375337982,0.2799,4.425237982
12/14/2016,SHR,8:28:00 AM,1,10,0.16,76,106.5,7.27,10.12,73.5,TRUE,412.9,0.04,304.9,0.09,206.7,0.2,100.82,0.68,4.12,WY17,1.01,2.594061017,0.5121,4.116161017
2/5/2019,STTD,10:25:00 AM,1,10.4,0.07,331,458,7.6,8.41,120.1,TRUE,2427,0.06,1810.9,0.1,1214,0.12,611.8,0.4,24.17,WY19,0.68,3.204275881,0.188,4.072275881
2/6/2017,STTD,10:45:00 AM,1,10.9,0.23,114,156,7.62,10.14,43.6,TRUE,365.8,0.05,277.5,0.13,180.1,0.32,91.7,0.96,0.368,WY17,1.46,1.442689354,1.0434,3.946089354
1/22/2019,STTD,11:37:00 AM,1,10.6,0.12,272,374,8.25,7.2,147.3,TRUE,2147,0.06,1658,0.09,1074,0.14,534.5,0.37,21.11,WY19,0.66,3.080717896,0.1682,3.908917896
2/27/2019,SHR,8:40:00 AM,1,8.8,0.2,70,101,7.87,11.56,57.2,TRUE,330.4,0.06,235.4,0.09,162.12,0.2,81.02,0.63,3.13,WY19,0.98,2.383417484,0.4486,3.812017484
4/10/2018,STTD,11:00:00 AM,,16.6,0.12,211,252,7.71,7.75,111.2,TRUE,1365.6,0.03,1036.2,0.07,684.7,0.12,345.4,0.45,13.65,WY18,0.67,2.542875283,0.2227,3.435575283
1/8/2019,STTD,9:53:00 AM,1,8.5,0.21,373,545,7.66,9.75,40.7,TRUE,168.23,0.04,127,0.08,83.74,0.21,42.21,0.74,1.67,WY19,1.07,1.713432311,0.5997,3.383132311
2/26/2019,STTD,10:45:00 AM,1,9.7,0.15,219,308,7.9,9.46,77.9,TRUE,188.47,0.03,141.51,0.08,94.54,0.18,46.93,0.71,1.9,WY19,1,1.660967496,0.5438,3.204767496
1/10/2017,SHR,9:41:00 AM,1,9.6,0.13,45,63.8,6.79,11.46,98.7,TRUE,338.5,0.04,254,0.08,168.9,0.15,84.8,0.52,3.4,WY17,0.79,1.934245472,0.3009,3.025145472
1/18/2017,STTD,11:00:00 AM,,8.2,0.21,67,98,7.1,10.36,44,TRUE,73.55,0.07,50.21,0.14,38.39,0.3,18.67,1.08,0.076,WY17,1.59,-1.120281731,1.2809,1.750618269
